Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.79474E-5,15.500102505,0.217610436,0.248386777,0.123287671,0.097222222
8.91216E-5,15.756884615,0.220169818,0.245507793,0.123287671,0.097222222
9.05692E-5,16.008302367,0.223313384,0.242728085,0.136986301,0.097222222
9.19783E-5,16.255036282,0.226361189,0.240047652,0.136986301,0.097222222
9.44111E-5,16.50647628,0.231595224,0.237367219,0.136986301,0.097222222
9.59817E-5,16.753752552,0.234955367,0.234786062,0.136986301,0.097222222
9.76199E-5,17.005485745,0.238444394,0.232204904,0.136986301,0.097222222
9.89886E-5,17.251279083,0.241347314,0.229723022,0.136986301,0.097222222
1.00545E-4,17.5011277,0.24463484,0.22724114,0.136986301,0.097222222
1.0214E-4,17.755059742,0.247988609,0.224759257,0.136986301,0.097222222
1.03223E-4,18.001248682,0.250259059,0.22237665,0.136986301,0.097222222
1.04709E-4,18.251079722,0.253360863,0.219994043,0.136986301,0.097222222
1.06175E-4,18.504189686,0.25640883,0.217611437,0.136986301,0.097222222
1.07173E-4,18.760331804,0.258476004,0.21522883,0.136986301,0.097222222
1.08793E-4,19.00876237,0.26182134,0.212945498,0.136986301,0.097222222
1.09765E-4,19.259988452,0.263819457,0.210662166,0.150684932,0.097222222
1.11259E-4,19.502717996,0.266882432,0.20847811,0.150684932,0.097222222
1.13088E-4,19.760801157,0.270615163,0.206194778,0.150684932,0.097222222
1.1445E-4,20.011215339,0.273382362,0.204010722,0.150684932,0.097222222
1.15453E-4,20.252573027,0.275412754,0.201925941,0.150684932,0.097222222
1.17041E-4,20.508453145,0.278615749,0.199741884,0.150684932,0.097222222
1.18552E-4,20.755698109,0.281650169,0.197657103,0.150684932,0.097222222
1.20029E-4,21.006485119,0.284605608,0.195572322,0.178082192,0.111111111
1.21684E-4,21.260386627,0.287902447,0.193487541,0.178082192,0.111111111
1.23021E-4,21.505196073,0.290552996,0.191502035,0.178082192,0.111111111
1.24456E-4,21.752866284,0.293388822,0.189516529,0.178082192,0.111111111
1.25688E-4,22.003096197,0.295813557,0.187531024,0.178082192,0.111111111
1.27148E-4,22.255986316,0.298675295,0.185545518,0.178082192,0.111111111
1.2853E-4,22.511741463,0.301375011,0.183560012,0.178082192,0.111111111
1.29919E-4,22.757487522,0.304078369,0.181673781,0.178082192,0.111111111
1.31838E-4,23.005967319,0.307794544,0.179787551,0.178082192,0.111111111
1.33524E-4,23.258419829,0.31104311,0.17790132,0.178082192,0.125
1.35217E-4,23.500023297,0.314289757,0.176114365,0.178082192,0.125
1.37208E-4,23.759201202,0.318089891,0.174228135,0.178082192,0.125
1.38157E-4,24.00707361,0.319891789,0.172441179,0.178082192,0.125
1.39352E-4,24.257193004,0.322155706,0.170654224,0.178082192,0.125
1.40994E-4,24.509564901,0.325254704,0.168867269,0.178082192,0.138888889
1.42543E-4,24.750511029,0.328164585,0.167179589,0.178082192,0.138888889
1.44291E-4,25.008814367,0.331433549,0.165392634,0.191780822,0.138888889
1.45743E-4,25.255278103,0.334137295,0.163704954,0.191780822,0.138888889
1.47755E-4,25.504696882,0.337865876,0.162017274,0.191780822,0.138888889
1.50242E-4,25.758439556,0.342444909,0.160329594,0.191780822,0.138888889
1.52033E-4,26.015198419,0.345722725,0.158641914,0.191780822,0.152777778
